AMJ,ASO,DJF,FMA,JAS,JFM,JJA,MAM,MJJ,NDJ,OND,SON,year,yr_avg
-1.1,-0.4,-1.5,-1.2,-0.4,-1.3,-0.5,-1.2,-0.9,-0.8,-0.6,-0.4,1950,-0.8583333333333334
0.4,1.0,-0.8,-0.2,0.9,-0.5,0.7,0.2,0.6,0.8,1.0,1.2,1951,0.44166666666666665
0.2,0.2,0.5,0.3,0.0,0.4,-0.1,0.3,0.0,0.1,0.0,0.1,1952,0.16666666666666666
0.8,0.8,0.4,0.6,0.7,0.6,0.7,0.7,0.8,0.8,0.8,0.8,1953,0.7083333333333334
-0.5,-0.9,0.8,0.0,-0.8,0.5,-0.6,-0.4,-0.5,-0.7,-0.7,-0.8,1954,-0.3833333333333333
-0.8,-1.1,-0.7,-0.7,-0.7,-0.6,-0.7,-0.8,-0.7,-1.5,-1.7,-1.4,1955,-0.9500000000000001
-0.5,-0.5,-1.1,-0.6,-0.6,-0.8,-0.6,-0.5,-0.5,-0.4,-0.4,-0.4,1956,-0.5750000000000001
0.9,1.3,-0.2,0.4,1.3,0.1,1.3,0.7,1.1,1.7,1.5,1.4,1957,0.9583333333333334
0.7,0.4,1.8,1.3,0.4,1.7,0.6,0.9,0.6,0.6,0.5,0.4,1958,0.8250000000000001
0.2,-0.1,0.6,0.5,-0.3,0.6,-0.2,0.3,-0.1,0.0,0.0,0.0,1959,0.125
0.0,0.3,-0.1,-0.1,0.2,-0.1,0.1,0.0,0.0,0.1,0.1,0.2,1960,0.05833333333333333
0.2,-0.3,0.0,0.0,-0.1,0.0,0.1,0.1,0.3,-0.2,-0.2,-0.3,1961,-0.03333333333333333
-0.3,-0.1,-0.2,-0.2,-0.1,-0.2,0.0,-0.3,-0.2,-0.4,-0.3,-0.2,1962,-0.20833333333333334
0.3,1.2,-0.4,0.2,1.1,-0.2,0.9,0.3,0.5,1.3,1.4,1.3,1963,0.6583333333333333
-0.6,-0.8,1.1,0.1,-0.7,0.6,-0.6,-0.3,-0.6,-0.8,-0.8,-0.8,1964,-0.3499999999999999
0.5,1.9,-0.6,-0.1,1.5,-0.3,1.2,0.2,0.8,1.7,2.0,2.0,1965,0.9
0.4,-0.1,1.4,1.0,0.1,1.2,0.2,0.7,0.2,-0.3,-0.2,-0.1,1966,0.37500000000000006
-0.2,-0.3,-0.4,-0.5,-0.2,-0.5,0.0,-0.4,0.0,-0.4,-0.3,-0.4,1967,-0.29999999999999993
0.0,0.4,-0.6,-0.6,0.5,-0.7,0.6,-0.4,0.3,1.0,0.7,0.5,1968,0.14166666666666666
0.6,0.8,1.1,0.9,0.5,1.1,0.4,0.8,0.4,0.6,0.8,0.9,1969,0.7416666666666667
0.0,-0.8,0.5,0.3,-0.8,0.3,-0.6,0.2,-0.3,-1.1,-0.9,-0.7,1970,-0.325
-0.7,-0.8,-1.4,-1.1,-0.8,-1.4,-0.8,-0.8,-0.7,-0.9,-1.0,-0.9,1971,-0.9416666666666665
0.7,1.6,-0.7,0.1,1.4,-0.4,1.1,0.4,0.9,2.1,2.1,1.8,1972,0.9250000000000002
-0.5,-1.5,1.8,0.5,-1.3,1.2,-1.1,-0.1,-0.9,-2.0,-1.9,-1.7,1973,-0.6250000000000001
-0.9,-0.4,-1.8,-1.2,-0.4,-1.6,-0.5,-1.0,-0.8,-0.6,-0.8,-0.6,1974,-0.8833333333333334
-0.8,-1.4,-0.5,-0.7,-1.2,-0.6,-1.1,-0.7,-1.0,-1.7,-1.6,-1.4,1975,-1.0583333333333333
-0.3,0.6,-1.6,-0.7,0.4,-1.2,0.2,-0.5,0.0,0.8,0.9,0.8,1976,-0.04999999999999999
0.2,0.6,0.7,0.3,0.4,0.6,0.4,0.2,0.3,0.8,0.8,0.7,1977,0.5
-0.3,-0.4,0.7,0.1,-0.4,0.4,-0.4,-0.2,-0.3,0.0,-0.1,-0.3,1978,-0.09999999999999999
0.2,0.3,0.0,0.2,0.2,0.1,0.0,0.3,0.0,0.6,0.5,0.5,1979,0.24166666666666667
0.5,-0.1,0.6,0.3,0.0,0.5,0.3,0.4,0.5,0.0,0.1,0.0,1980,0.25833333333333336
-0.3,-0.2,-0.3,-0.5,-0.2,-0.5,-0.3,-0.4,-0.3,-0.1,-0.2,-0.1,1981,-0.2833333333333333
0.7,1.6,0.0,0.2,1.1,0.1,0.8,0.5,0.7,2.2,2.2,2.0,1982,1.0083333333333335
1.1,-0.5,2.2,1.5,-0.1,1.9,0.3,1.3,0.7,-0.9,-1.0,-0.8,1983,0.47500000000000003
-0.5,-0.2,-0.6,-0.3,-0.2,-0.4,-0.3,-0.4,-0.4,-1.1,-0.9,-0.6,1984,-0.49166666666666664
-0.8,-0.4,-1.0,-0.8,-0.5,-0.8,-0.5,-0.8,-0.6,-0.4,-0.3,-0.3,1985,-0.6
-0.1,0.7,-0.5,-0.3,0.4,-0.5,0.2,-0.2,0.0,1.2,1.1,0.9,1986,0.24166666666666667
1.0,1.6,1.2,1.1,1.7,1.2,1.5,0.9,1.2,1.1,1.3,1.5,1987,1.2750000000000001
-0.9,-1.2,0.8,0.1,-1.1,0.5,-1.3,-0.3,-1.3,-1.8,-1.8,-1.5,1988,-0.8166666666666665
-0.6,-0.2,-1.7,-1.1,-0.3,-1.4,-0.3,-0.8,-0.4,-0.1,-0.2,-0.2,1989,-0.6083333333333333
0.3,0.4,0.1,0.3,0.4,0.2,0.3,0.3,0.3,0.4,0.4,0.3,1990,0.3083333333333333
0.5,0.6,0.4,0.2,0.6,0.3,0.7,0.3,0.6,1.5,1.2,0.8,1991,0.6416666666666666
1.1,-0.1,1.7,1.5,0.1,1.6,0.4,1.3,0.7,-0.1,-0.3,-0.2,1992,0.6416666666666667
0.7,0.2,0.1,0.5,0.3,0.3,0.3,0.7,0.6,0.1,0.0,0.1,1993,0.325
0.4,0.6,0.1,0.2,0.4,0.1,0.4,0.3,0.4,1.1,1.0,0.7,1994,0.47500000000000003
0.1,-0.8,1.0,0.5,-0.5,0.7,-0.2,0.3,0.0,-1.0,-1.0,-1.0,1995,-0.15833333333333335
-0.3,-0.4,-0.9,-0.6,-0.3,-0.8,-0.3,-0.4,-0.3,-0.5,-0.4,-0.4,1996,-0.46666666666666673
0.8,2.1,-0.5,-0.1,1.9,-0.4,1.6,0.3,1.2,2.4,2.4,2.3,1997,1.1666666666666667
0.5,-1.3,2.2,1.4,-1.1,1.9,-0.8,1.0,-0.1,-1.6,-1.5,-1.4,1998,-0.0666666666666667
-1.0,-1.2,-1.5,-1.1,-1.1,-1.3,-1.1,-1.0,-1.0,-1.7,-1.5,-1.3,1999,-1.2333333333333334
-0.7,-0.5,-1.7,-1.1,-0.5,-1.4,-0.6,-0.8,-0.6,-0.7,-0.7,-0.6,2000,-0.8249999999999998
-0.3,-0.2,-0.7,-0.4,-0.1,-0.5,-0.1,-0.3,-0.1,-0.3,-0.3,-0.3,2001,-0.3
0.4,1.0,-0.1,0.1,0.9,0.0,0.8,0.2,0.7,1.1,1.3,1.2,2002,0.6333333333333333
-0.3,0.3,0.9,0.4,0.2,0.6,0.1,0.0,-0.2,0.4,0.4,0.3,2003,0.2583333333333333
0.2,0.7,0.4,0.2,0.6,0.3,0.5,0.2,0.3,0.7,0.7,0.7,2004,0.4583333333333333
0.3,-0.1,0.6,0.4,-0.1,0.6,-0.1,0.4,0.1,-0.8,-0.6,-0.3,2005,0.033333333333333305
0.0,0.5,-0.8,-0.5,0.3,-0.7,0.1,-0.3,0.0,0.9,0.9,0.7,2006,0.09166666666666667
-0.3,-1.1,0.7,0.0,-0.8,0.3,-0.5,-0.2,-0.4,-1.6,-1.5,-1.4,2007,-0.5666666666666668
-0.8,-0.3,-1.6,-1.2,-0.3,-1.4,-0.4,-0.9,-0.5,-0.7,-0.6,-0.4,2008,-0.7583333333333333
0.1,0.7,-0.8,-0.5,0.5,-0.7,0.5,-0.2,0.4,1.6,1.3,1.0,2009,0.325
-0.1,-1.6,1.5,0.9,-1.4,1.3,-1.0,0.4,-0.6,-1.6,-1.7,-1.7,2010,-0.46666666666666673
-0.5,-0.9,-1.4,-0.8,-0.7,-1.1,-0.5,-0.6,-0.4,-1.0,-1.1,-1.1,2011,-0.8416666666666667
-0.2,0.3,-0.8,-0.5,0.3,-0.6,0.3,-0.4,0.1,-0.2,0.0,0.2,2012,-0.125
-0.3,-0.3,-0.4,-0.2,-0.4,-0.3,-0.4,-0.2,-0.3,-0.3,-0.2,-0.2,2013,-0.2916666666666667
0.3,0.2,-0.4,-0.2,0.0,-0.4,0.1,0.1,0.2,0.7,0.6,0.4,2014,0.1333333333333333
1.0,2.1,0.6,0.6,1.8,0.6,1.5,0.8,1.2,2.6,2.5,2.4,2015,1.4749999999999999
0.5,-0.7,2.5,1.7,-0.6,2.2,-0.3,1.0,0.0,-0.6,-0.7,-0.7,2016,0.35833333333333334
0.4,-0.4,-0.3,0.1,-0.1,-0.1,0.2,0.3,0.4,-1.0,-0.9,-0.7,2017,-0.17499999999999996
