acres,fire_name,location,state,year
1305592,Taylor Complex,AK-TAS,AK,2004
907245,East Amarillo Complex,TX-TXS,TX,2006
779292,NW Oklahoma Complex,OK-OKS,OK,2017
652016,Murphy Complex,ID-TFD,ID,2007
636224,Railbelt Complex,AK-AKS,AK,2009
614974,Eagle Complex,AK-UYD,AK,2004
610000,Inowak,AK-AKS,AK,1997
557628,Long Draw,OR-VAD,OR,2012
547505,Solstice Complex,AK-UYD,AK,2004
538049,Wallow,AZ- ASF,AZ,2011
537098,Boundary Fire,AK-FAS,AK,2004
517078,Minto Flats South,AK-FAS,AK,2009
508751,Southern Nevada Complex,NV-LVD,NV,2005
500068,Biscuit (formerly Florence),OR-SIF,OR,2002
498043,Tanana Area Fires,AK-TAD,AK,2015
480000,Trimbly Creek,OR-VAD,OR,2002
468638,Rodeo/Chediski Complex,AZ-FTA,AZ,2002
460850,Holloway,NV-WID,NV,2012
451162,Central Complex,AK-UYD,AK,2004
447420,Crazy Mountain Complex,AK-UYD,AK,2009
421613,Ruby Area Fires,AK-GAD,AK,2015
413964,Eastern Oklahoma IA,OK-OKS,OK,2006
395747,Buzzard Complex,OR-BUD,OR,2014
386722,Big Turnaround Complex,GA-OKR,GA,2007
367740,Anderson Creek,OK-OKS,OK,2016
363052,Milford Flat,UT-SWS,UT,2007
361658,Dun Glen Complex,NV-WID,NV,1999
351000,Kraft Complex,SD-SRA,SD,2002
349450,Little Black One ,AK-UYD,AK,2009
341448,Mustang Complex,ID-SCF,ID,2012
318156,Perryton,TX-TXS,TX,2017
315577,Rush,CA-NOD,CA,2012
314444,Rock House,TX-TFS,TX,2011
309200,Honey Prairie,GA-ONWR,GA,2011
306113,Long Butte,ID-TFD,ID,2010
302376,Cascade Complex,ID-BOF,ID,2007
300022,East Zone Complex,ID-PAF,ID,2007
297845,Whitewater- Baldy,NM-GNF,NM,2012
297000,Sadler Complex,NV-EKD,NV,1999
292070,Valley Complex,MT-BRF,MT,2000
285885,Pingo,AK-UYD,AK,2004
283180,Soda,ID-BOD,ID,2015
279865,Winter Trail,AK-UYD,AK,2004
