EXPID,REFID,RYEAR,RTYPE,RJRNL,RAUTHOR,RTITLE,RPUBLISHER,RPUBDATE,RLANGUAGE,RCITATION,RYAK94,RNOTES
KANG84101,01,1984,2.0,AAJ,"Matsuzawa, Tetsuro",,,,,59:247-249 (1985),,"20 Japanese + 3 Nepalese climbers, 18 other Japanese, 28 HA porters. Article includes route diagram"
KANG84102,01,1984,2.0,AAJ,"Ball, Gary",,,,,59:249-250 (1985),,
KANG84301,01,1984,2.0,AAJ,"Marshall, Roger",,,,,59:250 (1985),,
KANG84401,01,1984,1.0,,"Bremer-Kamp, Cherie",Living on the Edge,,1987,,,B558,
YALU84302,01,1984,2.0,AAJ,"Muller, Bernard",,,,,59:251 (1985),,
YALU84301,01,1984,2.0,AAJ,"Nyka, Jozef",,,,,59:251 (1985),,
KANB84101,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:252 (1985),,
JANU84301,01,1984,2.0,AAJ,"Fischer, Martin",,,,,59:252 (1985),,
JANU84401,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:252 (1985),,
MAKA84101,01,1984,2.0,AAJ,"Buhler, Carlos",,,,,59:252-254 (1985),,
MAKA84102,01,1984,2.0,AAJ,"Abrego, Mari",,,,,59:254-255 (1985),,
MAKA84302,01,1984,2.0,AAJ,"Nottaris, Romolo",,,,,59:255 (1985),,
MAKA84303,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:255 (1985),,
MAKA84301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:255-256 (1985),,
BARU84101,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:256 (1985),,
BARU84301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:256 (1985),,
MAKA84103,01,1984,2.0,AAJ,"Scott, Douglas",Makalu-Almost,,,,59:70-80 (1985),,
SHA284101,01,1984,2.0,AAJ,Lee Yong-Ho,,,,,59:256-257 (1985),,
LSHR84102,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:257-259 (1985),,
LSHR84301,01,1984,2.0,AAJ,"Moores, Paul",,,,,59:259 (1985),,
EVER84102,01,1984,2.0,AAJ,"Khullar, D. K.",,,,,59:261 (1985),,
EVER84302,01,1984,2.0,AAJ,"Cheney, Michael J.",,,,,59:262-263 (1985),,
EVER84305,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:263 (1985),,
EVER84306,01,1984,2.0,AAJ,"Kele, Frantisek",,,,,59:263 (1985),,
EVER84304,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:265 (1985),,
EVER84402,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:224-225 (1986),,
EVER84401,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:265 (1985),,
NUPT84301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:266 (1985),,
PUMO84101,01,1984,2.0,AAJ,"Andre, Michael",,,,,59:266-268 (1985),,
PUMO84301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:268 (1985),,
PUMO84401,01,1984,2.0,AAJ,"Jorgenson, Steven G.",,,,,59:268 (1985),,
LOBE84101,01,1984,2.0,AAJ,"Nielson, Lawrence",,,,,59:269 (1985),,
LOBW84301,01,1984,2.0,AAJ,"Ohnishi, Tamotsu",,,,,59:269 (1985),,
CHOL84301,01,1984,2.0,AAJ,"Bibler, Todd",,,,,59:270 (1985),,Photograph with route lines included
TAWO84101,01,1984,2.0,AAJ,"Bridwell, James",,,,,59:270 (1985),,
AMAD84102,01,1984,2.0,AAJ,"Eisenhard, James",,,,,59:270-273 (1985),,
AMAD84101,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:273 (1985),,
AMAD84103,01,1984,2.0,AAJ,,,,,,59:273 (1985),,
AMAD84401,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:273 (1985),,
AMAD84402,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:273 (1985),,
KTEG84101,01,1984,2.0,AAJ,"Magdalena, Maria Carmen",,,,,59:274 (1985),,
THAM84301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:275 (1985),,
CHOY84102,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:274 (1985),,
CHOY84301,01,1984,2.0,AAJ,"Pons, Jordi",,,,,59:275 (1985),,
CHOY84302,01,1984,2.0,AAJ,,,,,,59:275 (1985),,
CHOY84401,01,1984,2.0,AAJ,"Nyka, Jozef",,,,,59:275 (1985),,
CHOB84301,01,1984,2.0,AAJ,"Badham, Michael K.",,,,,59:277 (1985),,
GAUR84301,01,1984,2.0,AAJ,,,,,,59:277 (1985),,
KHAT84401,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:277 (1985),,
LANG84101,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:277-278 (1985),,
GAN384302,01,1984,2.0,AAJ,"Kekus, Nikola",,,,,59:278 (1985),,
GAN384301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:278 (1985),,
MANA84103,01,1984,2.0,AAJ,,,,,,59:279 (1985),,
MANA84102,01,1984,2.0,AAJ,"Loretan, Erhard",,,,,59:279 (1985),,
MANA84101,01,1984,2.0,AAJ,,,,,,59:279 (1985),,
MANA84302,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:280 (1985),,
NEMJ84401,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:280 (1985),,
KGUR84101,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:280-281 (1985),,
KGUR84102,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:281 (1985),,
KGUR84301,01,1984,2.0,AAJ,Bae Seung-Youl,,,,,59:281 (1985),,
KGUR84401,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:281 (1985),,
ANN284101,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:281-282 (1985),,
ANN284101,02,1984,3.0,MM,,,,,,99:9,,
ANN284301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:282 (1985),,
ANN284301,02,1984,3.0,MM,,,,,,102:14,,
ANN484302,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:282 (1985),,
ANN484302,02,1984,3.0,MM,,,,,,102:14,,
ANN484301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:282 (1985),,
ANN384301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:282 (1985),,
GANG84401,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:283 (1985),,
GLAC84301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:283 (1985),,
GLAC84302,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:283 (1985),,
ANN184101,01,1984,2.0,AAJ,"Sigayret, Henri",,,,,59:283-285 (1985),,Photo with route marked
ANNM84301,01,1984,2.0,AAJ,"Lucas, Enric",,,,,59:285 (1985),,
ANN184302,01,1984,2.0,AAJ,"Loretan, Erhard",,,,,59:285-288 (1985),,
ANN184301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:288 (1985),,
ANN184402,01,1984,2.0,AAJ,"Muller, Bernard",,,,,59:288-289 (1985),,
ANN184401,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:289 (1985),,
FANG84301,01,1984,2.0,AAJ,"Krause, Wesley",,,,,59:289 (1985),,
ANNS84301,01,1984,2.0,AAJ,"Udall, Mark",,,,,59:290 (1985),,
ANNS84401,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:290 (1985),,
ANN184303,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:291 (1985),,
DHA184101,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:291 (1985),,
DHA184302,01,1984,2.0,AAJ,"Beghin, Pierre",,,,,59:291-293 (1985),,
TILI84301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:291 (1985),,
TILI84401,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:291 (1985),,
DHA184301,01,1984,2.0,AAJ,"Novak, Jiri",,,,,59:293 (1985),,Photo with route lines included
DHA184402,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:293 (1985),,
DHA184401,01,1984,2.0,AAJ,"Hawley, Elizabeth",,,,,59:293 (1985),,
DHA284301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:294 (1985),,
CHRW84101,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:294 (1985),,
PUTH84101,01,1984,2.0,AAJ,Cho Chung-Sool,,,,,59:294 (1985),,
PUTH84301,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:294 (1985),,
CHRW84102,01,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,59:294 (1985),,
EVER84101,01,1984,2.0,AAJ,"Goodman, Donald J.",,,,,59:336-337 (1985),,
EVER84105,01,1984,2.0,AAJ,"Bonington, Chris",,,,,59:337-338 (1985),,
EVER84104,01,1984,2.0,AAJ,"Bonington, Chris",,,,,59:337-338 (1985),,
EVER84301,01,1984,2.0,AAJ,"Bartram, Geoffrey",,,,,59:338 (1985),,
LHOT84301,01,1984,2.0,AAJ,"Salisbury, Richard",,,,,59:261-262 (1985),,
MAKA84103,02,1984,2.0,AJ,"Scott, Douglas",Multi Peak - Alpine Style,,,,90:88-96 (1985),,
CHOY84101,01,1984,2.0,AAJ,"Komarkova, Vera",Cho Oyu,,,,59:89-93 (1985),,AAJ feature article
GAUR84101,01,1984,2.0,AAJ,"Culbreth, Wyman",Gaurishankar's West Face,,,,59:81-83 (1985),,AAJ feature article
HIME84301,01,1984,2.0,AAJ,"Yager, Mike",Himalchuli,,,,59:84-88 (1985),,AAJ feature article
EVER84303,01,1984,2.0,AJ,"Bonington, Chris",,,,,90:214-215 (1985),,
EVER84104,02,1984,2.0,AJ,"Villar, Richard",Everest North Face - A Doctor's View,,,,90:110-112 (1985),,
GAN384302,02,1984,2.0,AJ,"Kekus, Nick",Annual Leave - Ganesh II South Face,,,,90:71-73 (1985),,
EVER84105,02,1984,2.0,AJ,"Bonington, Chris",,,,,90:214 (1985),,
EVER84104,03,1984,2.0,AJ,"Bonington, Chris",,,,,90:214 (1985),,
EVER84101,02,1984,2.0,AJ,"Bonington, Chris",,,,,90:214 (1985),,
EVER84303,02,1984,2.0,AJ,"Bonington, Chris",,,,,90:214-215 (1985),,
EVER84301,02,1984,2.0,AJ,"Bonington, Chris",,,,,90:214-215 (1985),,
KANG85101,01,1985,2.0,AAJ,"Duenwald, Jeff",,,,,60:214 (1986),,
KANC85301,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:215 (1986),,
YALU85101,01,1985,2.0,AAJ,"Skarja, Tone",,,,,60:213-214 (1986),,Photo of route
KANG85401,01,1985,2.0,AAJ,"Nyka, Jozef",,,,,60:215 (1986),,
KIRA85301,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:217 (1986),,
OHMI85101,01,1985,2.0,AAJ,"Meier, Ruedi",,,,,60:217 (1986),,Photo of Ohmi Kangri annotated with route lines and camp sites
MAKA85101,01,1985,2.0,AAJ,"Barrard, Liliane and Maurice",,,,,60:217-218 (1986),,
MAKA85301,01,1985,2.0,AAJ,"Martini, Sergio",,,,,60:218 (1986),,
MAKA85401,01,1985,2.0,AAJ,"Baba, Hiroyuki",,,,,60:218 (1986),,
MAKA85402,01,1985,2.0,AAJ,"Nyka, Jozef",,,,,60:218-219 (1986),,
MAK285101,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:219 (1986),,
MAK285301,01,1985,2.0,AAJ,"Naar, Ronald",,,,,60:219 (1986),,
MAK285302,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:219-220 (1986),,
BARU85301,01,1985,2.0,AAJ,"Lukes, Cestmir",,,,,60:220 (1986),,
AMAD85101,01,1985,2.0,AAJ,"Alde, Carlo",,,,,60:220 (1986),,
TAWO85401,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:221 (1986),,
AMAD85301,01,1985,2.0,AAJ,"Decamp, Erik",,,,,60:221 (1986),,
AMAD85402,01,1985,2.0,AAJ,"Guha, Kamal K.",,,,,60:221 (1986),,
AMAD85401,01,1985,2.0,AAJ,"Kennedy, Michael",A Hidden Gem-Ama Dablam's Northeast Face,,,,61:32-40 (1987),,
AMAD85302,01,1985,2.0,AAJ,"Harrington, Randy","Lagunak Ridge, Ama Dablam",,,,60:16-19 (1986),,
KTEG85401,01,1985,2.0,AAJ,"Nyka, Jozef",,,,,60:223 (1986),,
THAM85302,01,1985,2.0,AAJ,"Batard, Marc",,,,,60:223 (1986),,
KUSU85101,01,1985,2.0,AAJ,,,,,,60:224 (1986),,
KUSU85102,01,1985,2.0,AAJ,"Tabin, Geoffrey",,,,,60:224 (1986),,
EVER84401,02,1984,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:225 (1986),,
EVER85102,01,1985,2.0,AAJ,"Bonington, Chris",,,,,60:225-226 (1986),,
EVER85102,02,1985,1.0,,"Bass, Dick & Wells, Frank",Seven Summits,"Warner Books, New York",1986,,,B156,
EVER85101,01,1985,2.0,AAJ,"Saas, David",,,,,60:226 (1986),,
EVER85303,01,1985,2.0,AAJ,,,,,,60:227-228 (1986),,
EVER85304,01,1985,2.0,AAJ,"Yagihara, Kuniaki",,,,,60:228 (1986),,
EVER85403,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:228 (1986),,
EVER85404,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:228-229 (1986),,
EVER85402,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:229 (1986),,
LSHR85101,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:229 (1986),,
LHOT85302,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:229-232 (1986),,Photo of route annotated with route lines.
LHOT85301,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:232 (1986),,Photo annotated with route lines.
PUMO85101,01,1985,2.0,AAJ,"Haid, Arthur",,,,,60:232 (1986),,
PUMO85102,01,1985,2.0,AAJ,"Matas, Jaume",,,,,60:232 (1986),,Photo annotated with route lines.
CHOY85103,01,1985,2.0,AAJ,"Garaioa, Xabier",,,,,60:234 (1986),,
CHOY85102,01,1985,2.0,AAJ,Ying Dao-Shui,,,,,60:234 (1986),,
CHOY85101,01,1985,2.0,AAJ,,,,,,60:234-235 (1986),,
CHOY85301,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:235 (1986),,
CHOY85401,01,1985,2.0,AAJ,"Marshall, Roger",,,,,60:235-236 (1986),,
CHOB85101,01,1985,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,60:236 (1986),,
