area,center,complex,lat,long,radius,state
2616.76,West Thorofare Plateau,Thorofare,44.0915,-110.0164,18.76,WY
3613.83,Cabin Creek-Peak 7288,Frank Church (no Inholdings),45.1846,-114.9418,17.16,ID
2102.81,Trout Creek Drainage,Selway-Bitterroot,46.1306,-114.8618,15.71,ID-MT
2406.81,Woodfir Creek-Peak 7322,Bob Marshall,47.6153,-113.2577,15.62,MT
1445.78,Queets Glacier,Olympic,47.7711,-123.601,13.58,WA
1186.16,Willow Creek-Lamar River,North Absaroka,44.6829,-110.0979,13.07,WY
3710.26,Tunemah Peak,Sierra Nevada,36.9945,-118.6735,12.53,CA
1415.74,Base of Gooseneck Ridge,Wind River,43.1773,-109.6499,12.16,WY
2101.26,North Harney River,Everglades,25.4373,-80.9978,12.14,FL
980.241,Chittenden Peak,North Yosemite Area,38.0952,-119.6149,11.41,CA
3603.47,Elkhorn Creek,Frank Church,45.4604,-114.8959,11.28,ID
864.413,Mohawk Valley,Cabeza Prieta,32.2551,-113.4049,11.24,AZ
874.326,McKenna Park,Gila,33.25,-108.469,10.9,NM
1434.94,Panhandle Lake,Boundary Waters,47.9896,-91.0631,10.52,MN
682.252,Three River Junction,Southwest Yellowstone,44.2818,-110.8903,10.3,WY-MT
1690.93,Buffalo Butte,Absaroka-Beartooth,45.0695,-110.3311,10.16,MT-WY
826.897,Dot Mountain,Pasayten,48.8587,-120.5423,9.76,WA
665.378,Whatcom Peak,Mount Baker,48.861,-121.3716,9.65,WA
1707.62,Base of Cool-Chocolate Ridge,Glacier Peak,48.1221,-121.0557,9.55,WA
629.096,Mt. Stimson-north slopes,South Glacier Park,48.5279,-113.6002,9.5,MT
708.56,South Kings Peak,High Uintas,40.7645,-110.3925,9.31,UT
814.345,Grace Lake,North Glacier Park,48.7796,-113.9997,9.18,MT
526.394,Owlshead Mountains,Death Valley-Owlshead,35.809,-116.7779,9.1,CA
488.328,Maple Creek,Northwest Yellowstone,44.7833,-110.9156,8.32,WY-MT
339.518,Smith Falls,Sawtooth,44.0005,-115.0523,7.92,ID
305.302,T2N R13E Sec 25,Sheephole Valley,34.2265,-115.5686,7.9,CA
569.703,Floyds Island Prairie,Okefenokee,30.9137,-82.2709,7.85,GA
491.459,Battle Creek,Black Rock Desert,41.2029,-118.7908,7.79,NV
351.146,Big Meadows Creek,Marble Mountain,41.4871,-123.215,7.41,CA
749.508,Rincon la Osa,Weminuche,37.6451,-107.3868,7.06,CO
391.06,Meteor Tank,Mazatzal,34.2001,-111.6061,7.06,AZ
555.015,Glacier Lake,Eagle Cap,45.163,-117.2834,6.97,OR
772.259,Niter Beds,Death Valley-Cottonwood,36.7434,-117.3046,6.88,CA
446.458,The Six Lakes,Gros Ventre,43.4623,-110.3801,6.87,WY
429.064,Saline Range,Death Valley-Saline,36.951,-117.7959,6.76,CA
843.049,Devils Canyon,Trinity Alps,40.9777,-122.9771,6.64,CA
346.574,Cerrito del Padre,Pecos,35.9355,-105.6027,6.49,NM
318.169,Burnt/Bonner Canyons,Aldo Leopold,33.2165,-107.894,6.43,NM
347.616,Isolation Peak,Rocky Mtn NP-Indian Peaks,40.2007,-105.6843,6.15,CO
499.997,Nash Lake,Three Sisters,44.0556,-121.8953,6.14,OR
217.7,Wassataquoik Mountain,Baxter-Katahdin,45.9981,-68.94482,5.9,ME
611.785,La Bohn Gap-Lake Rowena,Alpine Lakes,47.5605,-121.2216,5.75,WA
415.923,Elk Mountain,Grand Teton-Jed Smith,43.9627,-110.8165,5.72,WY
361.113,Marvine Creek,Flat Tops,39.931,-107.3319,5.57,CO
343.4,Topatopa Peak,Sespe,34.5443,-119.0033,5.56,CA
444.73,Last Chance Range,Death Valley-Last Chance,36.8306,-117.6098,5.54,CA
319.196,Liberty Ridge,Mount Rainier,46.8825,-121.7734,5.5,WA
320.58,Elk Butte,Gospel-Hump,45.5353,-115.7869,4.67,ID
310.77,Cold River-Mt. Emmons,Adirondack High Peaks,44.1221,-74.2063,4.65,NY
336.837,Epaulet Peak,Death Valley-Black,35.9926,-116.5248,4.12,CA
345.606,McAfee Creek,White Mountains,37.6201,-118.1624,4.05,CA
391.766,Bennett Benchmark,Death Valley-Panamint,36.1486,-116.9452,4.02,CA
