acres,fires,year
10026086,71499,2017
5509995,67743,2016
10125149,68151,2015
3595613,63312,2014
4319546,47579,2013
9326238,67774,2012
8711367,74126,2011
3422724,71971,2010
5921786,78792,2009
5292468,78979,2008
9328045,85705,2007
9873745,96385,2006
8689389,66753,2005
8097880,65461,2004
3960842,63629,2003
7184712,73457,2002
3570911,84079,2001
7393493,92250,2000
5626093,92487,1999
1329704,81043,1998
2856959,66196,1997
6065998,96363,1996
1840546,82234,1995
4073579,79107,1994
1797574,58810,1993
2069929,87394,1992
2953578,75754,1991
4621621,66481,1990
1827310,48949,1989
5009290,72750,1988
2447296,71300,1987
2719162,85907,1986
2896147,82591,1985
1148409,20493,1984
1323666,18229,1983
2382036,174755,1982
4814206,249370,1981
5260825,234892,1980
2986826,163196,1979
3910913,218842,1978
3152644,173998,1977
5109926,241699,1976
1791327,134872,1975
2879095,145868,1974
1915273,117957,1973
2641166,124554,1972
4278472,108398,1971
3278565,121736,1970
6689081,113351,1969
4231996,125371,1968
4658586,125025,1967
4574389,122500,1966
2652112,113684,1965
4197309,116358,1964
7120768,164183,1963
4078894,115345,1962
3036219,98517,1961
4478188,103387,1960
4156000,104662,1959
3280000,97910,1958
3410000,83392,1957
6606000,143485,1956
8069000,145180,1955
8833000,176891,1954
9976000,154160,1953
14187000,188277,1952
10781000,164090,1951
15519000,208402,1950
15397000,193774,1949
16557000,174189,1948
23226000,200799,1947
20691000,172278,1946
17681000,124728,1945
16549000,131229,1944
32333000,210326,1943
31854000,208218,1942
26405000,199702,1941
25848000,195427,1940
30449000,212671,1939
33815000,232229,1938
21981000,185209,1937
43207000,226285,1936
30335000,140297,1935
41821000,162663,1934
43890000,140722,1933
42063000,166399,1932
51607000,187214,1931
52266000,190980,1930
46230000,134895,1929
43542000,175934,1928
38531000,158438,1927
24316000,91793,1926
